TSTEP,Rh_litter,Rh_soil,Rh_total,C_litter,C_soil,C_total
3726,1.4993759,1.1940593,2.6934352,4.48555,21.268705,25.754255
3727,1.6134982,1.2768321,2.8903303,4.4838085,21.269094,25.752903
3728,1.6696572,1.3573413,3.0269985,4.4819546,21.26946,25.751415
3729,1.7545164,1.366261,3.1207774,4.4799213,21.26991,25.749832
3730,1.6779726,1.398159,3.0761316,4.4780464,21.270248,25.748295
3731,1.6509541,1.418971,3.069925,4.476223,21.27054,25.746763
3732,1.4177516,1.2394006,2.6571522,4.4748745,21.27077,25.745644
3733,1.3566891,1.2175406,2.5742297,4.473646,21.27096,25.744606
3734,1.0631138,1.0639907,2.1271045,4.4730206,21.270996,25.744017
3735,0.98767823,0.93647665,1.9241549,4.4725437,21.271086,25.74363
3736,1.1121324,1.0170654,2.1291978,4.471815,21.271223,25.743038
3737,1.5000694,1.214529,2.7145984,4.470293,21.271568,25.741861
3738,1.2763141,1.1666659,2.44298,4.469227,21.271729,25.740955
3739,1.5342522,1.2385335,2.7727857,4.4676323,21.272087,25.73972
3740,1.9443225,1.4394196,3.383742,4.4651947,21.272678,25.737873
3741,2.464323,1.7740616,4.2383847,4.461691,21.27348,25.73517
3742,2.565888,1.9980696,4.5639577,4.4579754,21.274168,25.732143
3743,2.2626386,2.003994,4.2666326,4.4548798,21.274534,25.729414
3744,1.9343108,1.7991873,3.733498,4.4524536,21.274763,25.727217
3745,2.3177242,1.8936454,4.2113695,4.449234,21.275307,25.72454
3746,2.8821096,2.249639,5.1317487,4.444849,21.276096,25.720945
3747,2.637466,2.2840738,4.92154,4.4409637,21.276596,25.71756
3748,1.6092118,1.7573994,3.3666112,4.439192,21.276537,25.715729
3749,1.390392,1.4448017,2.8351936,4.43787,21.27656,25.71443
3750,1.7986283,1.6682007,3.466829,4.4357014,21.276796,25.712498
3751,1.5957844,1.6322932,3.2280777,4.4339504,21.276854,25.710804
3752,1.543966,1.6066391,3.1506052,4.4323063,21.276884,25.70919
3753,1.6468108,1.6186085,3.2654192,4.4304447,21.277014,25.707458
3754,1.864419,1.7732892,3.6377082,4.428133,21.277224,25.705357
3755,2.1001415,1.9881054,4.088247,4.425329,21.277473,25.702803
3756,1.4636958,1.6274347,3.0911305,4.4238415,21.277405,25.701246
3757,1.2222707,1.359107,2.5813777,4.4228516,21.277348,25.7002
3758,1.492645,1.4426272,2.9352722,4.421299,21.2775,25.6988
3759,1.6536907,1.5562717,3.2099624,4.4194107,21.277712,25.697123
3760,1.776544,1.709895,3.486439,4.417267,21.277905,25.695171
3761,1.6401731,1.7097625,3.3499355,4.4154034,21.277952,25.693356
